sim_alpha,sim_beta,n,method_type,method_algo,parameter,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse
1.0,1.5,100,mrr,bernard,alpha,0.013334263997969798,0.01954726952536507,0.04370902343322634,0.015453473434338028,0.001706185579956617,0.001432583675679619
1.0,1.5,100,mrr,bernard,beta,-0.02420500820562741,0.06083017266095581,0.13602040115294647,0.04809047401748147,0.015387122046081276,0.007190195134818359
1.0,1.5,100,mle,scipy,alpha,0.0046160564910969985,0.01874540553059996,0.04191600103222202,0.014819544285053256,0.0014268688915555887,0.0009809239506074494
1.0,1.5,100,mle,scipy,beta,0.028230661052477714,0.036873255250346036,0.08245110529147476,0.029150867833963916,0.006235518034488567,0.004720171454225557
1.0,2.0,10,mrr,beta,alpha,0.02342119496101842,0.1270984506244821,0.28420077543124256,0.10048014776295337,0.06516461697797768,0.03460579461609078
1.0,2.0,10,mrr,beta,beta,0.18574764444074593,0.32977934586218954,0.7374090349232698,0.26071346455123584,0.46951985524446044,0.22586116520175656
1.0,2.0,10,mrr,bernard,alpha,0.023749201469971015,0.1271309789271121,0.28427351092711595,0.1005058636441359,0.06521316778232457,0.03457724747436991
1.0,2.0,10,mrr,bernard,beta,0.17885792072286238,0.32862312448479486,0.7348236453263769,0.2597993912932498,0.4639627875899016,0.2211505633215017
1.0,2.0,10,mle,scipy,alpha,-0.0003050838028266778,0.12321207773037905,0.27551058145411556,0.09740770021742688,0.06072495747067461,0.03612142197936371
1.0,2.0,10,mle,scipy,beta,0.617843798554496,0.3393428849287477,0.7587937583815687,0.26827410603681695,0.8423453336193099,0.35771950971206823
1.0,2.0,50,mrr,beta,alpha,-0.03576874807994572,0.027115355340002992,0.060631777774308615,0.02143657060980471,0.004220373320065136,0.00345145134181378
1.0,2.0,50,mrr,beta,beta,-0.0269516376780198,0.08945969849905396,0.20003796709052055,0.07072410151223925,0.0327385413956938,0.026091295730200408
1.0,2.0,50,mrr,bernard,alpha,-0.035515806704356875,0.027131197376799032,0.06066720164548661,0.02144909483956763,0.0042057800102565475,0.0034403355206275824
1.0,2.0,50,mrr,bernard,beta,-0.03154238936476346,0.08926039719291223,0.19959231582198317,0.07056653999522566,0.032864596354984156,0.026742423960992988
1.0,2.0,50,mle,scipy,alpha,-0.04597480482867868,0.02458858496366189,0.05498174744927718,0.019438983231435027,0.004532076721095976,0.003783327693239952
1.0,2.0,50,mle,scipy,beta,0.10811061913931357,0.07745256469097375,0.1731891996807173,0.061231628761253126,0.03568350507952361,0.02173137864896676
1.0,2.0,100,mrr,beta,alpha,0.004574542935346493,0.010123052392931028,0.02263583329038569,0.00800297560871996,0.000430831202067435,0.00016388679159243464
1.0,2.0,100,mrr,beta,beta,0.028501946730904316,0.05994814615554731,0.13404812992889648,0.047393170839049044,0.015187481877398757,0.005490826052774807
1.0,2.0,100,mrr,bernard,alpha,0.004767516343013511,0.010129718820121729,0.02265073987475115,0.008008245882164533,0.0004331740255798143,0.0001646502135689409
1.0,2.0,100,mrr,bernard,beta,0.02512739304275984,0.059909887941844445,0.13396258196235913,0.047362925065421405,0.014988164573942767,0.005278924593619078
1.0,2.0,100,mle,scipy,alpha,0.001831051324978561,0.009028017776744923,0.020187261450878166,0.007137274732750866,0.00032937316886359514,6.750485077447956e-05
1.0,2.0,100,mle,scipy,beta,0.035067666381472316,0.0354898191537585,0.07935764813697807,0.028057165568336588,0.006267850279708179,0.004096941229940204
1.0,2.5,10,mrr,beta,alpha,-0.00666421382284148,0.07662155912033894,0.17133101473509688,0.060574661173379646,0.023527865034002938,0.00677779703903505
1.0,2.5,10,mrr,beta,beta,0.5506820951428752,0.6877532563884564,1.5378630330314302,0.5437166895963179,2.1952689366026505,1.6044318680409182
1.0,2.5,10,mrr,bernard,alpha,-0.006394642471814782,0.07663505908522054,0.171361201574266,0.060585333832719176,0.023532620576323313,0.006747358095216749
1.0,2.5,10,mrr,bernard,beta,0.540855922566652,0.6854280758222738,1.5326637712254845,0.5418784729562437,2.1717717174771236,1.583801817552859
1.0,2.5,10,mle,scipy,alpha,-0.0304404654056021,0.06998646744913464,0.15649449872134136,0.05532916063212498,0.02051904443814479,0.008635993505410526
1.0,2.5,10,mle,scipy,beta,1.1118559524644716,0.5635133190820686,1.2600540876940347,0.44549639503514027,2.506412702162234,1.444787242833855
1.0,2.5,50,mrr,beta,alpha,0.003537973615701273,0.0315775872159192,0.07060963158022367,0.024964274653729975,0.004001093314821335,0.001670150682955069
1.0,2.5,50,mrr,beta,beta,-0.026812127117631323,0.181117043488055,0.4049900211230766,0.14318559512450527,0.13193242392798804,0.045918807068221934
1.0,2.5,50,mrr,bernard,alpha,0.003753912941039217,0.03159241528770837,0.0706427881567195,0.02497599727377054,0.00400641467721302,0.001673866021745449
1.0,2.5,50,mrr,bernard,beta,-0.032591690053532574,0.18071519015747506,0.40409144975891514,0.14286790217201598,0.13169413807515504,0.04625914393533214
