Estat 177: (1,2); t=6.6074
Estat 178: (2,2); t=6.6489
Estat 179: (2,3); t=6.6489
Estat 180: (1,2); t=6.6489
Estat 181: (0,1); t=6.6626
Estat 182: (0,3); t=6.7092
Estat 183: (1,3); t=6.7188
Estat 184: (2,3); t=6.7407
Estat 185: (3,3); t=6.7444
Estat 186: (4,3); t=6.7507
Estat 187: (5,3); t=6.7730
Estat 188: (5,3); t=6.7730
Estat 189: (4,2); t=6.7730
Estat 190: (3,1); t=6.7730
Estat 191: (2,0); t=6.7874
Estat 192: (3,0); t=6.8001
Estat 193: (3,3); t=6.8001
Estat 194: (2,2); t=6.8001
Estat 195: (1,1); t=6.8001
Estat 196: (0,0); t=6.8862
Estat 197: (1,0); t=6.9133
Estat 198: (2,0); t=6.9177
Estat 199: (3,0); t=7.0183
Estat 200: (4,0); t=7.0336
Estat 201: (5,0); t=7.0659
Estat 202: (6,0); t=7.1610
Estat 203: (6,3); t=7.1610
Estat 204: (5,2); t=7.1610
Estat 205: (4,1); t=7.1610
Estat 206: (3,0); t=7.1925
Estat 207: (3,3); t=7.1925
Estat 208: (2,2); t=7.1925
Estat 209: (1,1); t=7.1925
Estat 210: (0,0); t=7.1989
Estat 211: (1,0); t=7.2396
Estat 212: (1,3); t=7.2396
Estat 213: (0,2); t=7.2525
Estat 214: (0,3); t=7.2718
Estat 215: (1,3); t=7.3646
Estat 216: (1,3); t=7.3646
Estat 217: (0,2); t=7.4577
Estat 218: (1,2); t=7.5489
Estat 219: (1,3); t=7.5489
Estat 220: (0,2); t=7.6416
Estat 221: (1,2); t=7.6661
Estat 222: (2,2); t=7.6811
Estat 223: (3,2); t=7.7051
Estat 224: (4,2); t=7.7237
Estat 225: (4,3); t=7.7237
Estat 226: (3,2); t=7.7237
Estat 227: (2,1); t=7.7237
Estat 228: (1,0); t=7.8134
Estat 229: (1,3); t=7.8134
Estat 230: (0,2); t=7.8397
Estat 231: (1,2); t=7.8428
Estat 232: (1,3); t=7.8428
Estat 233: (0,2); t=7.9217
Estat 234: (1,2); t=8.0015
Estat 235: (1,3); t=8.0015
Estat 236: (0,2); t=8.0708
Estat 237: (1,2); t=8.2594
Estat 238: (1,3); t=8.2594
Estat 239: (0,2); t=8.2789
Estat 240: (0,3); t=8.3622
Estat 241: (1,3); t=8.4004
Estat 242: (2,3); t=8.5753
Estat 243: (2,3); t=8.5753
Estat 244: (1,2); t=8.5753
Estat 245: (0,1); t=8.6383
Estat 246: (1,1); t=8.6654
Estat 247: (2,1); t=8.7175
Estat 248: (2,3); t=8.7175
Estat 249: (1,2); t=8.7175
Estat 250: (0,1); t=8.7312
Estat 251: (1,1); t=8.8265
Estat 252: (1,3); t=8.8265
Estat 253: (0,2); t=8.8291
Estat 254: (1,2); t=8.8512
Estat 255: (2,2); t=8.8988
Estat 256: (3,2); t=8.9708
Estat 257: (3,3); t=8.9708
Estat 258: (2,2); t=8.9708
Estat 259: (1,1); t=8.9708
Estat 260: (0,0); t=8.9844
Estat 261: (0,3); t=9.0225
Estat 262: (0,3); t=9.1205
Estat 263: (1,3); t=9.1861
Estat 264: (1,3); t=9.1861
Estat 265: (0,2); t=9.2219
Estat 266: (1,2); t=9.3196
Estat 267: (2,2); t=9.4594
Estat 268: (2,3); t=9.4594
Estat 269: (1,2); t=9.4594
Estat 270: (0,1); t=9.4959
Estat 271: (1,1); t=9.5582
Estat 272: (1,3); t=9.5582
Estat 273: (0,2); t=9.6085
Estat 274: (1,2); t=9.6321
Estat 275: (1,3); t=9.6321
Estat 276: (0,2); t=9.6449
Estat 277: (1,2); t=9.8682
Estat 278: (1,3); t=9.8682
Estat 279: (0,2); t=9.9581
Estat 280: (0,3); t=10.0455
Estat 281: (1,3); t=10.0570
Estat 282: (1,3); t=10.0570
Estat 283: (0,2); t=10.0634
Estat 284: (0,3); t=10.0663
Estat 285: (1,3); t=10.0898
Estat 286: (2,3); t=10.1512
Estat 287: (2,3); t=10.1512
Estat 288: (1,2); t=10.1512
Estat 289: (0,1); t=10.1839
Estat 290: (0,3); t=10.1966
Estat 291: (0,3); t=10.2236
Estat 292: (1,3); t=10.2302
Estat 293: (1,3); t=10.2302
Estat 294: (0,2); t=10.3265
Estat 295: (1,2); t=10.3811
Estat 296: (2,2); t=10.4891
Estat 297: (2,3); t=10.4891
Estat 298: (1,2); t=10.4891
Estat 299: (0,1); t=10.4952
Estat 300: (0,3); t=10.5519
Estat 301: (1,3); t=10.6452
Estat 302: (1,3); t=10.6452
Estat 303: (0,2); t=10.6819
Estat 304: (0,3); t=10.7318
Estat 305: (1,3); t=10.7409
Estat 306: (1,3); t=10.7409
Estat 307: (0,2); t=10.8005
Estat 308: (0,3); t=10.8035
Estat 309: (0,3); t=10.8220
Estat 310: (1,3); t=10.8571
Estat 311: (1,3); t=10.8571
Estat 312: (0,2); t=10.8940
Estat 313: (0,3); t=11.0616
Estat 314: (1,3); t=11.0707
Estat 315: (2,3); t=11.0928
Estat 316: (3,3); t=11.1116
Estat 317: (4,3); t=11.1197
Estat 318: (5,3); t=11.2709
Estat 319: (6,3); t=11.3680
Estat 320: (7,3); t=11.3921
Estat 321: (7,3); t=11.3921
Estat 322: (6,2); t=11.3921
Estat 323: (5,1); t=11.3921
Estat 324: (4,0); t=11.4929
Estat 325: (5,0); t=11.5565
Estat 326: (6,0); t=11.5948
Estat 327: (7,0); t=11.6887
Estat 328: (7,3); t=11.6887
Estat 329: (6,2); t=11.6887
Estat 330: (5,1); t=11.6887
Estat 331: (4,0); t=11.8335
Estat 332: (5,0); t=11.9023
Estat 333: (5,3); t=11.9023
Estat 334: (4,2); t=11.9023
Estat 335: (3,1); t=11.9023
Estat 336: (2,0); t=11.9530
Estat 337: (2,3); t=11.9530
Estat 338: (1,2); t=11.9530
Estat 339: (0,1); t=11.9585
Estat 340: (0,3); t=11.9750
Estat 341: (1,3); t=12.0379
Estat 342: (1,3); t=12.0379
Estat 343: (0,2); t=12.0551
Estat 344: (0,3); t=12.0669
Estat 345: (1,3); t=12.0689
Estat 346: (2,3); t=12.0757
Estat 347: (3,3); t=12.3177
Estat 348: (3,3); t=12.3177
Estat 349: (2,2); t=12.3177
Estat 350: (1,1); t=12.3177
Estat 351: (0,0); t=12.3464
Estat 352: (0,3); t=12.3721
Estat 353: (0,3); t=12.3761
Estat 354: (1,3); t=12.4230
Estat 355: (1,3); t=12.4230
Estat 356: (0,2); t=12.5176
Estat 357: (1,2); t=12.6110
Estat 358: (2,2); t=12.6564
Estat 359: (3,2); t=12.7612
Estat 360: (4,2); t=12.9972
Estat 361: (5,2); t=13.0698
Estat 362: (6,2); t=13.1005
Estat 363: (7,2); t=13.2220
Estat 364: (7,3); t=13.2220
Estat 365: (6,2); t=13.2220
Estat 366: (5,1); t=13.2220
Estat 367: (4,0); t=13.2528
Estat 368: (4,3); t=13.2528
Estat 369: (3,2); t=13.2528
Estat 370: (2,1); t=13.2528
Estat 371: (1,0); t=13.2779
Estat 372: (1,3); t=13.2779
Estat 373: (0,2); t=13.4405
Estat 374: (0,3); t=13.4459
Estat 375: (0,3); t=13.5046
Estat 376: (1,3); t=13.6347
Estat 377: (1,3); t=13.6347
Estat 378: (0,2); t=13.7057
Estat 379: (0,3); t=13.7453
Estat 380: (0,3); t=13.7780
Estat 381: (0,3); t=13.8785
Estat 382: (0,3); t=13.9925
Estat 383: (0,3); t=14.0036
Estat 384: (1,3); t=14.0566
Estat 385: (1,3); t=14.0566
Estat 386: (0,2); t=14.1312
Estat 387: (1,2); t=14.1675
Estat 388: (1,3); t=14.1675
