parameter,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta
method_full,MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MRR (beta)
,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse
n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,-1.90e-02,1.03e-02,3.26e-01,7.30e-03,1.07e-01,4.74e-03,4.38e-02,1.07e-02,3.39e-01,7.59e-03,1.17e-01,5.72e-03,4.30e-02,1.07e-02,3.39e-01,7.59e-03,1.17e-01,5.71e-03,4.71e-01,3.23e-02,1.02e+00,2.28e-02,1.26e+00,1.02e-01,-1.35e-01,3.08e-02,9.75e-01,2.18e-02,9.67e-01,6.85e-02,-1.25e-01,3.09e-02,9.78e-01,2.19e-02,9.71e-01,6.92e-02
50,-5.45e-03,4.77e-03,1.51e-01,3.38e-03,2.28e-02,1.02e-03,1.84e-02,5.00e-03,1.58e-01,3.54e-03,2.53e-02,1.33e-03,1.78e-02,5.00e-03,1.58e-01,3.54e-03,2.53e-02,1.33e-03,9.13e-02,1.13e-02,3.58e-01,8.01e-03,1.36e-01,7.41e-03,-9.53e-02,1.36e-02,4.29e-01,9.60e-03,1.93e-01,9.63e-03,-8.85e-02,1.36e-02,4.30e-01,9.62e-03,1.92e-01,9.68e-03
200,2.07e-03,2.42e-03,7.65e-02,1.71e-03,5.86e-03,2.57e-04,1.14e-02,2.51e-03,7.93e-02,1.77e-03,6.41e-03,2.94e-04,1.11e-02,2.51e-03,7.93e-02,1.77e-03,6.40e-03,2.93e-04,2.11e-02,5.33e-03,1.69e-01,3.77e-03,2.89e-02,1.36e-03,-4.82e-02,6.96e-03,2.20e-01,4.93e-03,5.08e-02,2.31e-03,-4.48e-02,6.97e-03,2.20e-01,4.93e-03,5.05e-02,2.30e-03
