parameter,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta
method_full,MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MRR (beta)
,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse
n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2.57e-02,1.04e-02,3.29e-01,7.37e-03,1.09e-01,5.51e-03,8.97e-02,1.14e-02,3.60e-01,8.05e-03,1.37e-01,7.98e-03,8.89e-02,1.14e-02,3.60e-01,8.04e-03,1.37e-01,7.95e-03,1.99e-01,1.21e-02,3.84e-01,8.59e-03,1.87e-01,1.63e-02,-1.25e-02,1.05e-02,3.32e-01,7.43e-03,1.10e-01,7.32e-03,-9.32e-03,1.05e-02,3.33e-01,7.46e-03,1.11e-01,7.41e-03
50,3.92e-03,4.62e-03,1.46e-01,3.27e-03,2.13e-02,9.72e-04,2.66e-02,4.94e-03,1.56e-01,3.50e-03,2.51e-02,1.29e-03,2.60e-02,4.94e-03,1.56e-01,3.50e-03,2.51e-02,1.28e-03,2.54e-02,3.75e-03,1.19e-01,2.66e-03,1.47e-02,7.75e-04,-3.16e-02,4.57e-03,1.44e-01,3.23e-03,2.18e-02,1.04e-03,-2.93e-02,4.58e-03,1.45e-01,3.24e-03,2.18e-02,1.04e-03
200,4.31e-04,2.40e-03,7.60e-02,1.70e-03,5.77e-03,2.65e-04,9.65e-03,2.49e-03,7.87e-02,1.76e-03,6.28e-03,2.86e-04,9.36e-03,2.49e-03,7.87e-02,1.76e-03,6.27e-03,2.86e-04,5.78e-03,1.78e-03,5.64e-02,1.26e-03,3.21e-03,1.40e-04,-1.68e-02,2.33e-03,7.37e-02,1.65e-03,5.70e-03,2.46e-04,-1.57e-02,2.33e-03,7.37e-02,1.65e-03,5.68e-03,2.45e-04
