parameter,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta
method_full,MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MRR (beta)
,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse
n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4.52e-01,7.39e-02,2.34e+00,5.23e-02,5.66e+00,4.78e-01,8.74e-01,8.34e-02,2.64e+00,5.90e-02,7.71e+00,6.58e-01,8.69e-01,8.33e-02,2.63e+00,5.89e-02,7.68e+00,6.56e-01,8.62e-02,5.30e-03,1.68e-01,3.75e-03,3.55e-02,2.96e-03,-1.34e-02,4.92e-03,1.55e-01,3.48e-03,2.43e-02,1.45e-03,-1.18e-02,4.93e-03,1.56e-01,3.49e-03,2.44e-02,1.47e-03
50,8.30e-02,2.83e-02,8.95e-01,2.00e-02,8.07e-01,4.10e-02,2.36e-01,3.11e-02,9.82e-01,2.20e-02,1.02e+00,6.57e-02,2.33e-01,3.10e-02,9.81e-01,2.19e-02,1.01e+00,6.54e-02,1.51e-02,1.88e-03,5.95e-02,1.33e-03,3.76e-03,1.97e-04,-1.62e-02,2.25e-03,7.12e-02,1.59e-03,5.33e-03,2.34e-04,-1.51e-02,2.26e-03,7.14e-02,1.60e-03,5.31e-03,2.35e-04
200,1.72e-02,1.48e-02,4.68e-01,1.05e-02,2.19e-01,1.08e-02,7.99e-02,1.55e-02,4.90e-01,1.10e-02,2.47e-01,1.26e-02,7.81e-02,1.55e-02,4.90e-01,1.10e-02,2.46e-01,1.26e-02,1.71e-03,8.64e-04,2.73e-02,6.11e-04,7.48e-04,3.54e-05,-1.08e-02,1.14e-03,3.60e-02,8.06e-04,1.41e-03,5.89e-05,-1.03e-02,1.14e-03,3.61e-02,8.07e-04,1.41e-03,5.87e-05
