parameter,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta
method_full,MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MRR (beta)
,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse
n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1.97e-02,3.23e-02,1.02e+00,2.29e-02,1.04e+00,4.98e-02,2.07e-01,3.44e-02,1.09e+00,2.43e-02,1.23e+00,6.53e-02,2.04e-01,3.44e-02,1.09e+00,2.43e-02,1.22e+00,6.51e-02,1.81e-01,1.16e-02,3.68e-01,8.22e-03,1.68e-01,1.57e-02,-1.94e-02,1.10e-02,3.49e-01,7.82e-03,1.22e-01,1.28e-02,-1.62e-02,1.11e-02,3.50e-01,7.84e-03,1.23e-01,1.29e-02
50,9.75e-03,1.37e-02,4.33e-01,9.69e-03,1.87e-01,8.23e-03,7.98e-02,1.45e-02,4.57e-01,1.02e-02,2.15e-01,1.05e-02,7.81e-02,1.45e-02,4.57e-01,1.02e-02,2.15e-01,1.05e-02,2.83e-02,3.67e-03,1.16e-01,2.60e-03,1.43e-02,7.77e-04,-3.19e-02,4.43e-03,1.40e-01,3.14e-03,2.07e-02,9.43e-04,-2.96e-02,4.44e-03,1.41e-01,3.14e-03,2.06e-02,9.45e-04
200,-1.92e-02,6.82e-03,2.16e-01,4.82e-03,4.68e-02,2.04e-03,5.80e-03,7.12e-03,2.25e-01,5.04e-03,5.07e-02,2.25e-03,4.92e-03,7.12e-03,2.25e-01,5.03e-03,5.06e-02,2.24e-03,3.95e-03,1.76e-03,5.57e-02,1.25e-03,3.12e-03,1.38e-04,-1.69e-02,2.29e-03,7.23e-02,1.62e-03,5.50e-03,2.36e-04,-1.58e-02,2.29e-03,7.23e-02,1.62e-03,5.47e-03,2.35e-04
