parameter,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta
method_full,MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MRR (beta)
,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse
n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2.50e-02,2.16e-02,6.82e-01,1.53e-02,4.65e-01,2.12e-02,1.55e-01,2.33e-02,7.38e-01,1.65e-02,5.68e-01,3.10e-02,1.53e-01,2.33e-02,7.37e-01,1.65e-02,5.67e-01,3.09e-02,1.57e-01,1.05e-02,3.33e-01,7.46e-03,1.36e-01,1.04e-02,-4.82e-02,9.87e-03,3.12e-01,6.98e-03,9.96e-02,6.88e-03,-4.52e-02,9.90e-03,3.13e-01,7.01e-03,1.00e-01,6.96e-03
50,5.62e-03,9.29e-03,2.94e-01,6.57e-03,8.62e-02,3.71e-03,5.25e-02,9.80e-03,3.10e-01,6.93e-03,9.87e-02,4.28e-03,5.14e-02,9.80e-03,3.10e-01,6.93e-03,9.85e-02,4.27e-03,2.81e-02,3.78e-03,1.20e-01,2.68e-03,1.51e-02,8.30e-04,-3.26e-02,4.46e-03,1.41e-01,3.16e-03,2.10e-02,9.16e-04,-3.04e-02,4.47e-03,1.41e-01,3.16e-03,2.09e-02,9.16e-04
200,3.68e-03,4.71e-03,1.49e-01,3.33e-03,2.22e-02,9.89e-04,2.31e-02,4.87e-03,1.54e-01,3.44e-03,2.42e-02,1.09e-03,2.25e-02,4.87e-03,1.54e-01,3.44e-03,2.42e-02,1.09e-03,4.75e-03,1.76e-03,5.55e-02,1.24e-03,3.10e-03,1.47e-04,-1.99e-02,2.23e-03,7.05e-02,1.58e-03,5.36e-03,2.33e-04,-1.87e-02,2.23e-03,7.05e-02,1.58e-03,5.32e-03,2.32e-04
