parameter,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,alpha,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta,beta
method_full,MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MLE (scipy),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (bernard),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MRR (beta),MRR (beta)
,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse
n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2.54e-01,4.71e-02,1.49e+00,3.33e-02,2.28e+00,1.80e-01,5.62e-01,5.63e-02,1.78e+00,3.99e-02,3.49e+00,3.74e-01,5.58e-01,5.63e-02,1.78e+00,3.98e-02,3.47e+00,3.72e-01,7.91e-02,5.52e-03,1.75e-01,3.90e-03,3.67e-02,3.48e-03,-1.94e-02,5.06e-03,1.60e-01,3.58e-03,2.60e-02,2.05e-03,-1.79e-02,5.08e-03,1.61e-01,3.59e-03,2.61e-02,2.07e-03
50,6.47e-02,1.93e-02,6.12e-01,1.37e-02,3.78e-01,2.44e-02,1.64e-01,2.09e-02,6.60e-01,1.48e-02,4.62e-01,3.09e-02,1.62e-01,2.09e-02,6.59e-01,1.48e-02,4.61e-01,3.08e-02,1.41e-02,1.92e-03,6.06e-02,1.36e-03,3.87e-03,2.24e-04,-1.64e-02,2.24e-03,7.08e-02,1.58e-03,5.28e-03,2.45e-04,-1.53e-02,2.24e-03,7.10e-02,1.59e-03,5.27e-03,2.46e-04
200,2.67e-02,9.09e-03,2.87e-01,6.43e-03,8.32e-02,3.93e-03,6.50e-02,9.73e-03,3.08e-01,6.89e-03,9.89e-02,4.98e-03,6.38e-02,9.73e-03,3.08e-01,6.88e-03,9.86e-02,4.96e-03,3.47e-03,8.72e-04,2.76e-02,6.17e-04,7.72e-04,3.63e-05,-7.73e-03,1.11e-03,3.50e-02,7.84e-04,1.29e-03,5.97e-05,-7.17e-03,1.11e-03,3.51e-02,7.84e-04,1.28e-03,5.95e-05
